tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-22,2,0,0,2,2,0,0,2
2020-03-23,0,0,0,0,2,0,0,2
2020-03-24,0,0,0,0,2,0,0,2
2020-03-25,0,0,0,0,2,0,0,2
2020-03-26,4,0,0,4,6,0,0,6
2020-03-27,0,0,0,0,6,0,0,6
2020-03-28,0,0,0,0,6,0,0,6
2020-03-29,2,0,0,2,8,0,0,8
2020-03-30,0,0,0,0,8,0,0,8
2020-03-31,1,0,1,0,9,1,0,8
2020-04-01,0,0,1,-1,9,2,0,7
2020-04-02,0,0,1,-1,9,3,0,6
2020-04-03,6,1,0,5,15,3,1,11
2020-04-04,2,0,1,1,17,4,1,12
2020-04-05,8,0,0,8,25,4,1,20
2020-04-06,0,1,0,-1,25,4,2,19
2020-04-07,0,1,0,-1,25,4,3,18
2020-04-08,11,0,0,11,36,4,3,29
2020-04-09,0,0,0,0,36,4,3,29
2020-04-10,0,1,1,-2,36,5,4,27
2020-04-11,24,0,2,22,60,7,4,49
2020-04-12,1,0,2,-1,61,9,4,48
2020-04-13,6,0,0,6,67,9,4,54
2020-04-14,0,0,0,0,67,9,4,54
2020-04-15,7,0,0,7,74,9,4,61
2020-04-16,6,2,5,-1,80,14,6,60
2020-04-17,9,0,0,9,89,14,6,69
2020-04-18,6,0,0,6,95,14,6,75
2020-04-19,12,0,0,12,107,14,6,87
2020-04-20,0,0,14,-14,107,28,6,73
2020-04-21,11,0,4,7,118,32,6,80
2020-04-22,5,0,0,5,123,32,6,85
2020-04-23,7,0,0,7,130,32,6,92
2020-04-24,6,0,0,6,136,32,6,98
2020-04-25,0,0,0,0,136,32,6,98
2020-04-26,5,0,0,5,141,32,6,103
2020-04-27,10,0,0,10,151,32,6,113
2020-04-28,26,0,16,10,177,48,6,123
2020-04-29,12,0,0,12,189,48,6,135
2020-04-30,16,0,0,16,205,48,6,151
2020-05-01,5,0,1,4,210,49,6,155
2020-05-02,29,0,0,29,239,49,6,184
2020-05-03,0,0,0,0,239,49,6,184
2020-05-04,0,0,0,0,239,49,6,184
2020-05-05,6,0,0,6,245,49,6,190
2020-05-06,1,0,0,1,246,49,6,191
2020-05-07,4,0,0,4,250,49,6,195
2020-05-08,13,0,0,13,263,49,6,208
2020-05-09,12,0,0,12,275,49,6,220
2020-05-10,30,0,0,30,305,49,6,250
2020-05-11,0,0,0,0,305,49,6,250
2020-05-12,16,0,0,16,321,49,6,266
2020-05-13,5,0,0,5,326,49,6,271
2020-05-14,4,0,0,4,330,49,6,275
2020-05-15,3,0,0,3,333,49,6,278
2020-05-16,15,0,0,15,348,49,6,293
2020-05-17,33,0,0,33,381,49,6,326
2020-05-18,0,0,0,0,381,49,6,326
2020-05-19,6,0,0,6,387,49,6,332
2020-05-20,20,0,0,20,407,49,6,352
2020-05-21,1,0,0,1,408,49,6,353
2020-05-22,21,0,0,21,429,49,6,374
2020-05-23,43,0,0,43,472,49,6,417
2020-05-24,44,0,0,44,516,49,6,461
2020-05-25,7,0,20,-13,523,69,6,448
2020-05-26,0,0,0,0,523,69,6,448
2020-05-27,12,0,0,12,535,69,6,460
2020-05-28,3,0,0,3,538,69,6,463
2020-05-29,45,0,0,45,583,69,6,508
2020-05-30,13,0,0,13,596,69,6,521
2020-05-31,14,0,0,14,610,69,6,535
2020-06-01,35,0,0,35,645,69,6,570
2020-06-02,81,1,9,71,726,78,7,641
2020-06-03,37,0,0,37,763,78,7,678
2020-06-04,15,0,0,15,778,78,7,693
2020-06-05,31,0,0,31,809,78,7,724
2020-06-06,68,0,0,68,877,78,7,792
2020-06-07,44,0,0,44,921,78,7,836
2020-06-08,15,0,0,15,936,78,7,851
2020-06-09,12,0,0,12,948,78,7,863
2020-06-10,22,0,0,22,970,78,7,885
2020-06-11,17,0,0,17,987,78,7,902
2020-06-12,27,0,0,27,1014,78,7,929
2020-06-13,33,0,0,33,1047,78,7,962
2020-06-14,9,0,50,-41,1056,128,7,921
2020-06-15,0,0,63,-63,1056,191,7,858
2020-06-16,27,0,94,-67,1083,285,7,791
2020-06-17,22,0,3,19,1105,288,7,810
2020-06-18,34,0,0,34,1139,288,7,844
2020-06-19,11,0,0,11,1150,288,7,855
2020-06-20,9,0,0,9,1159,288,7,864
2020-06-21,42,0,0,42,1201,288,7,906
2020-06-22,8,0,0,8,1209,288,7,914
2020-06-23,40,0,0,40,1249,288,7,954
2020-06-24,44,0,0,44,1293,288,7,998
2020-06-25,46,0,0,46,1339,288,7,1044
2020-06-26,10,0,0,10,1349,288,7,1054
2020-06-27,29,0,0,29,1378,288,7,1083
2020-06-28,20,0,274,-254,1398,562,7,829
2020-06-29,2,0,89,-87,1400,651,7,742
2020-06-30,45,7,105,-67,1445,756,14,675
2020-07-01,74,0,13,61,1519,769,14,736
2020-07-02,58,1,0,57,1577,769,15,793
2020-07-03,19,0,9,10,1596,778,15,803
2020-07-04,29,0,0,29,1625,778,15,832
2020-07-05,28,0,0,28,1653,778,15,860
2020-07-06,5,2,40,-37,1658,818,17,823
2020-07-07,24,1,31,-8,1682,849,18,815
2020-07-08,17,1,20,-4,1699,869,19,811
2020-07-09,22,0,46,-24,1721,915,19,787
2020-07-10,63,0,11,52,1784,926,19,839
2020-07-11,19,0,16,3,1803,942,19,842
2020-07-12,53,2,7,44,1856,949,21,886
2020-07-13,83,0,6,77,1939,955,21,963
2020-07-14,0,0,2,-2,1939,957,21,961
2020-07-15,56,3,48,5,1995,1005,24,966
2020-07-16,46,1,5,40,2041,1010,25,1006
2020-07-17,19,0,28,-9,2060,1038,25,997
2020-07-18,45,0,10,35,2105,1048,25,1032
2020-07-19,38,0,8,30,2143,1056,25,1062
2020-07-20,36,0,9,27,2179,1065,25,1089
2020-07-21,7,2,6,-1,2186,1071,27,1088
2020-07-22,27,0,11,16,2213,1082,27,1104
2020-07-23,38,0,3,35,2251,1085,27,1139
2020-07-24,47,0,2,45,2298,1087,27,1184
2020-07-25,30,1,44,-15,2328,1131,28,1169
2020-07-26,45,0,6,39,2373,1137,28,1208
2020-07-27,47,0,12,35,2420,1149,28,1243
2020-07-28,17,0,8,9,2437,1157,28,1252
2020-07-29,23,0,14,9,2460,1171,28,1261
