tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-26,1,0,0,1,1,0,0,1
2020-03-27,0,0,0,0,1,0,0,1
2020-03-28,1,0,0,1,2,0,0,2
2020-03-29,0,0,0,0,2,0,0,2
2020-03-30,0,0,0,0,2,0,0,2
2020-03-31,3,0,2,1,5,2,0,3
2020-04-01,0,0,0,0,5,2,0,3
2020-04-02,0,0,0,0,5,2,0,3
2020-04-03,2,0,0,2,7,2,0,5
2020-04-04,1,0,1,0,8,3,0,5
2020-04-05,0,0,0,0,8,3,0,5
2020-04-06,8,0,0,8,16,3,0,13
2020-04-07,1,0,2,-1,17,5,0,12
2020-04-08,0,1,0,-1,17,5,1,11
2020-04-09,0,0,0,0,17,5,1,11
2020-04-10,4,0,0,4,21,5,1,15
2020-04-11,0,0,0,0,21,5,1,15
2020-04-12,0,0,0,0,21,5,1,15
2020-04-13,1,0,1,0,22,6,1,15
2020-04-14,0,1,0,-1,22,6,2,14
2020-04-15,7,0,0,7,29,6,2,21
2020-04-16,1,0,0,1,30,6,2,22
2020-04-17,1,0,0,1,31,6,2,23
2020-04-18,4,1,0,3,35,6,3,26
2020-04-19,3,0,0,3,38,6,3,29
2020-04-20,12,1,1,10,50,7,4,39
2020-04-21,5,0,0,5,55,7,4,44
2020-04-22,11,0,0,11,66,7,4,55
2020-04-23,0,0,0,0,66,7,4,55
2020-04-24,10,0,0,10,76,7,4,65
2020-04-25,5,0,0,5,81,7,4,70
2020-04-26,3,0,1,2,84,8,4,72
2020-04-27,6,0,0,6,90,8,4,78
2020-04-28,8,1,2,5,98,10,5,83
2020-04-29,5,0,0,5,103,10,5,88
2020-04-30,14,0,1,13,117,11,5,101
2020-05-01,7,1,2,4,124,13,6,105
2020-05-02,0,0,0,0,124,13,6,105
2020-05-03,0,0,0,0,124,13,6,105
2020-05-04,21,0,1,20,145,14,6,125
2020-05-05,1,2,0,-1,146,14,8,124
2020-05-06,4,0,12,-8,150,26,8,116
2020-05-07,2,1,0,1,152,26,9,117
2020-05-08,0,0,1,-1,152,27,9,116
2020-05-09,1,0,0,1,153,27,9,117
2020-05-10,4,0,0,4,157,27,9,121
2020-05-11,5,0,0,5,162,27,9,126
2020-05-12,3,0,1,2,165,28,9,128
2020-05-13,13,0,1,12,178,29,9,140
2020-05-14,2,0,9,-7,180,38,9,133
2020-05-15,3,0,3,0,183,41,9,133
2020-05-16,0,0,0,0,183,41,9,133
2020-05-17,0,0,0,0,183,41,9,133
2020-05-18,0,0,0,0,183,41,9,133
2020-05-19,4,0,0,4,187,41,9,137
2020-05-20,8,0,16,-8,195,57,9,129
2020-05-21,12,0,9,3,207,66,9,132
2020-05-22,29,4,10,15,236,76,13,147
2020-05-23,2,0,0,2,238,76,13,149
2020-05-24,13,0,0,13,251,76,13,162
2020-05-25,1,2,16,-17,252,92,15,145
2020-05-26,9,0,0,9,261,92,15,154
2020-05-27,7,0,0,7,268,92,15,161
2020-05-28,4,0,0,4,272,92,15,165
2020-05-29,22,0,6,16,294,98,15,181
2020-05-30,24,2,5,17,318,103,17,198
2020-05-31,11,0,0,11,329,103,17,209
2020-06-01,7,0,1,6,336,104,17,215
2020-06-02,8,1,13,-6,344,117,18,209
2020-06-03,25,3,7,15,369,124,21,224
2020-06-04,9,0,0,9,378,124,21,233
2020-06-05,14,2,0,12,392,124,23,245
2020-06-06,13,0,0,13,405,124,23,258
2020-06-07,1,0,8,-7,406,132,23,251
2020-06-08,7,2,2,3,413,134,25,254
2020-06-09,16,0,0,16,429,134,25,270
2020-06-10,12,0,7,5,441,141,25,275
2020-06-11,11,0,0,11,452,141,25,286
2020-06-12,10,0,3,7,462,144,25,293
2020-06-13,17,1,1,15,479,145,26,308
2020-06-14,0,2,12,-14,479,157,28,294
2020-06-15,36,4,2,30,515,159,32,324
2020-06-16,21,0,9,12,536,168,32,336
2020-06-17,41,1,1,39,577,169,33,375
2020-06-18,29,3,30,-4,606,199,36,371
2020-06-19,0,0,0,0,606,199,36,371
2020-06-20,20,2,6,12,626,205,38,383
2020-06-21,0,0,0,0,626,205,38,383
2020-06-22,17,1,6,10,643,211,39,393
2020-06-23,5,1,4,0,648,215,40,393
2020-06-24,3,0,0,3,651,215,40,396
2020-06-25,5,0,0,5,656,215,40,401
2020-06-26,6,2,21,-17,662,236,42,384
2020-06-27,4,0,0,4,666,236,42,388
2020-06-28,10,0,0,10,676,236,42,398
2020-06-29,34,0,44,-10,710,280,42,388
2020-06-30,10,2,1,7,720,281,44,395
2020-07-01,30,0,0,30,750,281,44,425
2020-07-02,14,0,0,14,764,281,44,439
2020-07-03,38,3,36,-1,802,317,47,438
2020-07-04,6,2,22,-18,808,339,49,420
2020-07-05,25,0,4,21,833,343,49,441
2020-07-06,7,0,1,6,840,344,49,447
2020-07-07,17,0,16,1,857,360,49,448
2020-07-08,13,0,5,8,870,365,49,456
2020-07-09,20,2,16,2,890,381,51,458
2020-07-10,29,0,0,29,919,381,51,487
2020-07-11,17,1,21,-5,936,402,52,482
2020-07-12,29,3,8,18,965,410,55,500
2020-07-13,23,0,3,20,988,413,55,520
