tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-04-17,1,0,0,1,1,0,0,1
2020-04-18,0,0,0,0,1,0,0,1
2020-04-19,0,0,0,0,1,0,0,1
2020-04-20,0,0,0,0,1,0,0,1
2020-04-21,0,0,0,0,1,0,0,1
2020-04-22,0,0,0,0,1,0,0,1
2020-04-23,0,0,0,0,1,0,0,1
2020-04-24,0,0,0,0,1,0,0,1
2020-04-25,0,0,0,0,1,0,0,1
2020-04-26,0,0,0,0,1,0,0,1
2020-04-27,0,0,0,0,1,0,0,1
2020-04-28,0,1,0,-1,1,0,1,0
2020-04-29,0,0,1,-1,1,1,1,-1
2020-04-30,0,0,0,0,1,1,1,-1
2020-05-01,0,0,0,0,1,1,1,-1
2020-05-02,0,0,0,0,1,1,1,-1
2020-05-03,0,0,0,0,1,1,1,-1
2020-05-04,0,0,0,0,1,1,1,-1
2020-05-05,0,0,0,0,1,1,1,-1
2020-05-06,0,0,0,0,1,1,1,-1
2020-05-07,0,0,1,-1,1,2,1,-2
2020-05-08,0,0,0,0,1,2,1,-2
2020-05-09,0,0,0,0,1,2,1,-2
2020-05-10,0,0,0,0,1,2,1,-2
2020-05-11,0,1,0,-1,1,2,2,-3
2020-05-12,0,0,1,-1,1,3,2,-4
2020-05-13,0,0,0,0,1,3,2,-4
2020-05-14,0,0,0,0,1,3,2,-4
2020-05-15,0,0,0,0,1,3,2,-4
2020-05-16,0,0,0,0,1,3,2,-4
2020-05-17,0,0,0,0,1,3,2,-4
2020-05-18,0,0,0,0,1,3,2,-4
2020-05-19,0,0,0,0,1,3,2,-4
2020-05-20,0,0,0,0,1,3,2,-4
2020-05-21,0,0,0,0,1,3,2,-4
2020-05-22,0,0,0,0,1,3,2,-4
2020-05-23,0,0,0,0,1,3,2,-4
2020-05-24,0,0,0,0,1,3,2,-4
2020-05-25,0,0,0,0,1,3,2,-4
2020-05-26,0,0,0,0,1,3,2,-4
2020-05-27,0,0,0,0,1,3,2,-4
2020-05-28,0,0,0,0,1,3,2,-4
2020-05-29,0,0,0,0,1,3,2,-4
2020-05-30,0,0,1,-1,1,4,2,-5
2020-05-31,0,0,0,0,1,4,2,-5
2020-06-01,0,0,0,0,1,4,2,-5
2020-06-02,0,0,0,0,1,4,2,-5
2020-06-03,0,0,0,0,1,4,2,-5
2020-06-04,0,0,0,0,1,4,2,-5
2020-06-05,0,0,0,0,1,4,2,-5
2020-06-06,0,0,0,0,1,4,2,-5
2020-06-07,0,0,2,-2,1,6,2,-7
2020-06-08,0,0,0,0,1,6,2,-7
2020-06-09,0,0,0,0,1,6,2,-7
2020-06-10,0,0,0,0,1,6,2,-7
2020-06-11,0,0,1,-1,1,7,2,-8
2020-06-12,0,0,0,0,1,7,2,-8
2020-06-13,0,0,1,-1,1,8,2,-9
2020-06-14,0,1,0,-1,1,8,3,-10
2020-06-15,0,0,0,0,1,8,3,-10
2020-06-16,0,0,0,0,1,8,3,-10
2020-06-17,0,0,0,0,1,8,3,-10
2020-06-18,0,0,0,0,1,8,3,-10
2020-06-19,0,0,0,0,1,8,3,-10
2020-06-20,0,0,0,0,1,8,3,-10
2020-06-21,0,0,1,-1,1,9,3,-11
2020-06-22,0,0,1,-1,1,10,3,-12
2020-06-23,0,0,0,0,1,10,3,-12
2020-06-24,0,0,1,-1,1,11,3,-13
2020-06-25,0,0,0,0,1,11,3,-13
2020-06-26,0,0,0,0,1,11,3,-13
2020-06-27,0,0,0,0,1,11,3,-13
2020-06-28,0,0,0,0,1,11,3,-13
2020-06-29,0,0,0,0,1,11,3,-13
2020-06-30,0,0,1,-1,1,12,3,-14
2020-07-01,0,0,0,0,1,12,3,-14
2020-07-02,0,0,1,-1,1,13,3,-15
2020-07-03,0,0,0,0,1,13,3,-15
2020-07-04,0,0,0,0,1,13,3,-15
2020-07-05,0,0,0,0,1,13,3,-15
2020-07-06,0,0,0,0,1,13,3,-15
2020-07-07,0,0,0,0,1,13,3,-15
2020-07-08,0,1,0,-1,1,13,4,-16
2020-07-09,0,0,1,-1,1,14,4,-17
2020-07-10,0,0,0,0,1,14,4,-17
2020-07-11,0,0,0,0,1,14,4,-17
