tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-04-10,1,0,0,1,1,0,0,1
2020-04-11,0,0,0,0,1,0,0,1
2020-04-12,0,0,0,0,1,0,0,1
2020-04-13,0,0,0,0,1,0,0,1
2020-04-14,0,0,0,0,1,0,0,1
2020-04-15,0,0,0,0,1,0,0,1
2020-04-16,3,0,0,3,4,0,0,4
2020-04-17,0,0,0,0,4,0,0,4
2020-04-18,0,0,0,0,4,0,0,4
2020-04-19,0,0,0,0,4,0,0,4
2020-04-20,0,0,0,0,4,0,0,4
2020-04-21,3,1,0,2,7,0,1,6
2020-04-22,0,0,0,0,7,0,1,6
2020-04-23,0,0,0,0,7,0,1,6
2020-04-24,3,0,0,3,10,0,1,9
2020-04-25,2,0,0,2,12,0,1,11
2020-04-26,0,0,0,0,12,0,1,11
2020-04-27,0,0,0,0,12,0,1,11
2020-04-28,1,0,2,-1,13,2,1,10
2020-04-29,0,0,0,0,13,2,1,10
2020-04-30,0,0,0,0,13,2,1,10
2020-05-01,0,0,0,0,13,2,1,10
2020-05-02,0,0,0,0,13,2,1,10
2020-05-03,0,0,0,0,13,2,1,10
2020-05-04,0,0,0,0,13,2,1,10
2020-05-05,0,0,3,-3,13,5,1,7
2020-05-06,0,0,0,0,13,5,1,7
2020-05-07,3,0,0,3,16,5,1,10
2020-05-08,0,0,3,-3,16,8,1,7
2020-05-09,0,0,0,0,16,8,1,7
2020-05-10,0,0,1,-1,16,9,1,6
2020-05-11,0,0,0,0,16,9,1,6
2020-05-12,0,0,0,0,16,9,1,6
2020-05-13,0,0,1,-1,16,10,1,5
2020-05-14,2,0,1,1,18,11,1,6
2020-05-15,1,0,0,1,19,11,1,7
2020-05-16,1,1,0,0,20,11,2,7
2020-05-17,1,0,0,1,21,11,2,8
2020-05-18,3,0,0,3,24,11,2,11
2020-05-19,0,0,0,0,24,11,2,11
