tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-22,1,0,0,1,1,0,0,1
2020-03-23,0,0,0,0,1,0,0,1
2020-03-24,0,0,0,0,1,0,0,1
2020-03-25,0,0,0,0,1,0,0,1
2020-03-26,0,0,0,0,1,0,0,1
2020-03-27,0,0,0,0,1,0,0,1
2020-03-28,0,0,0,0,1,0,0,1
2020-03-29,0,0,0,0,1,0,0,1
2020-03-30,0,0,0,0,1,0,0,1
2020-03-31,0,0,0,0,1,0,0,1
2020-04-01,0,0,1,-1,1,1,0,0
2020-04-02,0,0,0,0,1,1,0,0
2020-04-03,0,0,0,0,1,1,0,0
2020-04-04,0,0,0,0,1,1,0,0
2020-04-05,0,0,0,0,1,1,0,0
2020-04-06,0,0,0,0,1,1,0,0
2020-04-07,0,0,0,0,1,1,0,0
2020-04-08,1,0,0,1,2,1,0,1
2020-04-09,0,0,0,0,2,1,0,1
2020-04-10,0,0,0,0,2,1,0,1
2020-04-11,0,0,0,0,2,1,0,1
2020-04-12,5,0,0,5,7,1,0,6
2020-04-13,0,0,0,0,7,1,0,6
2020-04-14,0,0,0,0,7,1,0,6
2020-04-15,2,0,0,2,9,1,0,8
2020-04-16,0,0,0,0,9,1,0,8
2020-04-17,0,0,0,0,9,1,0,8
2020-04-18,3,0,3,0,12,4,0,8
2020-04-19,0,0,0,0,12,4,0,8
2020-04-20,0,0,3,-3,12,7,0,5
2020-04-21,0,0,0,0,12,7,0,5
2020-04-22,0,0,0,0,12,7,0,5
2020-04-23,0,0,0,0,12,7,0,5
2020-04-24,0,0,0,0,12,7,0,5
2020-04-25,3,0,0,3,15,7,0,8
2020-04-26,0,0,0,0,15,7,0,8
2020-04-27,0,0,0,0,15,7,0,8
2020-04-28,1,0,1,0,16,8,0,8
2020-04-29,1,0,0,1,17,8,0,9
2020-04-30,0,0,0,0,17,8,0,9
2020-05-01,0,0,0,0,17,8,0,9
2020-05-02,0,0,0,0,17,8,0,9
2020-05-03,0,0,0,0,17,8,0,9
2020-05-04,0,0,0,0,17,8,0,9
2020-05-05,0,0,0,0,17,8,0,9
2020-05-06,0,2,0,-2,17,8,2,7
2020-05-07,0,0,0,0,17,8,2,7
2020-05-08,7,0,0,7,24,8,2,14
2020-05-09,0,0,0,0,24,8,2,14
2020-05-10,0,0,1,-1,24,9,2,13
2020-05-11,0,2,3,-5,24,12,4,8
2020-05-12,17,0,0,17,41,12,4,25
2020-05-13,0,0,0,0,41,12,4,25
2020-05-14,11,0,0,11,52,12,4,36
2020-05-15,0,0,0,0,52,12,4,36
2020-05-16,0,0,0,0,52,12,4,36
2020-05-17,18,2,2,14,70,14,6,50
2020-05-18,19,0,0,19,89,14,6,69
2020-05-19,0,0,0,0,89,14,6,69
2020-05-20,13,1,0,12,102,14,7,81
2020-05-21,9,0,0,9,111,14,7,90
2020-05-22,19,0,0,19,130,14,7,109
2020-05-23,0,0,0,0,130,14,7,109
2020-05-24,2,0,5,-3,132,19,7,106
2020-05-25,1,0,0,1,133,19,7,107
2020-05-26,0,0,0,0,133,19,7,107
2020-05-27,9,1,7,1,142,26,8,108
2020-05-28,16,0,1,15,158,27,8,123
2020-05-29,19,0,0,19,177,27,8,142
2020-05-30,0,0,1,-1,177,28,8,141
2020-05-31,7,0,0,7,184,28,8,148
2020-06-01,0,0,0,0,184,28,8,148
2020-06-02,0,0,15,-15,184,43,8,133
2020-06-03,12,0,0,12,196,43,8,145
2020-06-04,0,0,4,-4,196,47,8,141
2020-06-05,16,0,2,14,212,49,8,155
2020-06-06,7,0,1,6,219,50,8,161
2020-06-07,7,0,0,7,226,50,8,168
2020-06-08,27,0,10,17,253,60,8,185
2020-06-09,8,0,8,0,261,68,8,185
2020-06-10,12,0,0,12,273,68,8,197
2020-06-11,0,0,0,0,273,68,8,197
2020-06-12,44,1,15,28,317,83,9,225
2020-06-13,10,0,1,9,327,84,9,234
2020-06-14,17,0,3,14,344,87,9,248
2020-06-15,28,1,0,27,372,87,10,275
2020-06-16,33,2,2,29,405,89,12,304
2020-06-17,18,0,2,16,423,91,12,320
2020-06-18,13,0,0,13,436,91,12,333
2020-06-19,8,0,18,-10,444,109,12,323
2020-06-20,29,0,20,9,473,129,12,332
2020-06-21,12,0,0,12,485,129,12,344
2020-06-22,26,0,3,23,511,132,12,367
2020-06-23,1,0,4,-3,512,136,12,364
2020-06-24,30,1,4,25,542,140,13,389
2020-06-25,10,0,15,-5,552,155,13,384
2020-06-26,6,1,5,0,558,160,14,384
2020-06-27,11,0,18,-7,569,178,14,377
2020-06-28,6,0,9,-3,575,187,14,374
2020-06-29,10,0,22,-12,585,209,14,362
2020-06-30,11,1,5,5,596,214,15,367
2020-07-01,6,0,14,-8,602,228,15,359
2020-07-02,9,1,18,-10,611,246,16,349
2020-07-03,7,0,8,-1,618,254,16,348
2020-07-04,5,0,49,-44,623,303,16,304
2020-07-05,14,0,2,12,637,305,16,316
2020-07-06,8,0,2,6,645,307,16,322
