tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-02,1,0,0,1,1,0,0,1
2020-03-03,0,0,0,0,1,0,0,1
2020-03-04,0,0,0,0,1,0,0,1
2020-03-05,0,0,0,0,1,0,0,1
2020-03-06,0,0,0,0,1,0,0,1
2020-03-07,0,0,0,0,1,0,0,1
2020-03-08,0,0,0,0,1,0,0,1
2020-03-09,0,0,0,0,1,0,0,1
2020-03-10,0,0,0,0,1,0,0,1
2020-03-11,0,0,0,0,1,0,0,1
2020-03-12,0,0,0,0,1,0,0,1
2020-03-13,0,0,0,0,1,0,0,1
2020-03-14,0,0,0,0,1,0,0,1
2020-03-15,0,0,0,0,1,0,0,1
2020-03-16,0,0,0,0,1,0,0,1
2020-03-17,0,0,0,0,1,0,0,1
2020-03-18,0,0,0,0,1,0,0,1
2020-03-19,0,0,0,0,1,0,0,1
2020-03-20,0,0,0,0,1,0,0,1
2020-03-21,0,0,0,0,1,0,0,1
2020-03-22,0,0,0,0,1,0,0,1
2020-03-23,0,0,0,0,1,0,0,1
2020-03-24,0,0,0,0,1,0,0,1
2020-03-25,0,0,0,0,1,0,0,1
2020-03-26,0,0,0,0,1,0,0,1
2020-03-27,0,0,0,0,1,0,0,1
2020-03-28,0,0,0,0,1,0,0,1
2020-03-29,1,0,0,1,2,0,0,2
2020-03-30,1,0,0,1,3,0,0,3
2020-03-31,0,0,0,0,3,0,0,3
2020-04-01,0,1,0,-1,3,0,1,2
2020-04-02,4,0,0,4,7,0,1,6
2020-04-03,3,0,0,3,10,0,1,9
2020-04-04,0,0,1,-1,10,1,1,8
2020-04-05,1,1,0,0,11,1,2,8
2020-04-06,1,0,0,1,12,1,2,9
2020-04-07,0,0,0,0,12,1,2,9
2020-04-08,0,0,0,0,12,1,2,9
2020-04-09,1,1,0,0,13,1,3,9
2020-04-10,1,0,1,0,14,2,3,9
2020-04-11,3,0,1,2,17,3,3,11
2020-04-12,0,0,0,0,17,3,3,11
2020-04-13,3,0,0,3,20,3,3,14
2020-04-14,0,0,0,0,20,3,3,14
2020-04-15,0,2,4,-6,20,7,5,8
2020-04-16,5,0,3,2,25,10,5,10
2020-04-17,1,0,0,1,26,10,5,11
2020-04-18,4,0,0,4,30,10,5,15
2020-04-19,0,0,0,0,30,10,5,15
2020-04-20,4,1,0,3,34,10,6,18
2020-04-21,1,0,0,1,35,10,6,19
2020-04-22,0,0,0,0,35,10,6,19
2020-04-23,1,0,3,-2,36,13,6,17
2020-04-24,0,0,1,-1,36,14,6,16
2020-04-25,2,0,1,1,38,15,6,17
2020-04-26,1,0,0,1,39,15,6,18
2020-04-27,0,0,1,-1,39,16,6,17
2020-04-28,1,0,0,1,40,16,6,18
2020-04-29,1,0,1,0,41,17,6,18
2020-04-30,1,0,7,-6,42,24,6,12
2020-05-01,1,0,1,0,43,25,6,12
2020-05-02,3,0,2,1,46,27,6,13
2020-05-03,8,0,0,8,54,27,6,21
2020-05-04,5,0,0,5,59,27,6,26
2020-05-05,3,0,1,2,62,28,6,28
2020-05-06,0,0,0,0,62,28,6,28
2020-05-07,5,0,0,5,67,28,6,33
2020-05-08,3,0,11,-8,70,39,6,25
2020-05-09,3,0,1,2,73,40,6,27
2020-05-10,2,0,7,-5,75,47,6,22
