tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-18,7,1,0,6,7,0,1,6
2020-03-19,3,0,0,3,10,0,1,9
2020-03-20,9,0,0,9,19,0,1,18
2020-03-21,9,1,0,8,28,0,2,26
2020-03-22,14,0,0,14,42,0,2,40
2020-03-23,2,1,0,1,44,0,3,41
2020-03-24,3,1,0,2,47,0,4,43
2020-03-25,9,0,1,8,56,1,4,51
2020-03-26,13,1,0,12,69,1,5,63
2020-03-27,3,1,0,2,72,1,6,65
2020-03-28,14,2,2,10,86,3,8,75
2020-03-29,12,1,28,-17,98,31,9,58
2020-03-30,7,2,0,5,105,31,11,63
2020-03-31,1,0,0,1,106,31,11,64
2020-04-01,9,4,77,-72,115,108,15,-8
2020-04-02,0,12,91,-103,115,199,27,-111
2020-04-03,47,1,7,39,162,206,28,-72
2020-04-04,5,2,3,0,167,209,30,-72
2020-04-05,35,2,8,25,202,217,32,-47
2020-04-06,9,5,11,-7,211,228,37,-54
2020-04-07,5,5,2,-2,216,230,42,-56
2020-04-08,15,23,15,-23,231,245,65,-79
2020-04-09,36,12,43,-19,267,288,77,-98
2020-04-10,30,4,34,-8,297,322,81,-106
2020-04-11,15,9,27,-21,312,349,90,-127
2020-04-12,111,1,7,103,423,356,91,-24
2020-04-13,52,3,6,43,475,362,94,19
2020-04-14,36,2,10,24,511,372,96,43
2020-04-15,25,4,4,17,536,376,100,60
2020-04-16,13,4,3,6,549,379,104,66
2020-04-17,10,6,3,1,559,382,110,67
2020-04-18,34,3,7,24,593,389,113,91
2020-04-19,43,6,2,35,636,391,119,126
2020-04-20,5,3,1,1,641,392,122,127
2020-04-21,10,5,2,3,651,394,127,130
2020-04-22,36,5,30,1,687,424,132,131
2020-04-23,27,4,12,11,714,436,136,142
2020-04-24,20,11,14,-5,734,450,147,137
2020-04-25,75,7,19,49,809,469,154,186
2020-04-26,19,8,4,7,828,473,162,193
2020-04-27,12,5,9,-2,840,482,167,191
2020-04-28,58,1,21,36,898,503,168,227
2020-04-29,20,3,10,7,918,513,171,234
2020-04-30,75,5,8,62,993,521,176,296
2020-05-01,83,5,33,45,1076,554,181,341
2020-05-02,7,10,46,-49,1083,600,191,292
2020-05-03,77,6,9,62,1160,609,197,354
2020-05-04,13,8,7,-2,1173,616,205,352
2020-05-05,41,7,21,13,1214,637,212,365
2020-05-06,48,13,11,24,1262,648,225,389
2020-05-07,34,14,9,11,1296,657,239,400
2020-05-08,30,19,46,-35,1326,703,258,365
2020-05-09,158,12,63,83,1484,766,270,448
2020-05-10,78,7,48,23,1562,814,277,471
2020-05-11,54,13,70,-29,1616,884,290,442
2020-05-12,111,11,28,72,1727,912,301,514
2020-05-13,141,7,47,87,1868,959,308,601
2020-05-14,85,14,17,54,1953,976,322,655
2020-05-15,57,13,12,32,2010,988,335,687
2020-05-16,168,11,24,133,2178,1012,346,820
2020-05-17,57,11,30,16,2235,1042,357,836
2020-05-18,124,13,15,96,2359,1057,370,932
2020-05-19,84,13,48,23,2443,1105,383,955
2020-05-20,124,19,43,62,2567,1148,402,1017
2020-05-21,431,14,12,405,2998,1160,416,1422
2020-05-22,155,9,51,95,3153,1211,425,1517
2020-05-23,465,20,90,355,3618,1301,445,1872
2020-05-24,72,11,55,6,3690,1356,456,1878
2020-05-25,200,16,34,150,3890,1390,472,2028
2020-05-26,86,14,67,5,3976,1457,486,2033
2020-05-27,166,15,44,107,4142,1501,501,2140
2020-05-28,168,13,55,100,4310,1556,514,2240
2020-05-29,132,8,52,72,4442,1608,522,2312
2020-05-30,180,12,54,114,4622,1662,534,2426
2020-05-31,232,16,203,13,4854,1865,550,2439
2020-06-01,95,16,96,-17,4949,1961,566,2422
2020-06-02,171,19,298,-146,5120,2259,585,2276
2020-06-03,173,14,304,-145,5293,2563,599,2131
2020-06-04,107,15,179,-87,5400,2742,614,2044
2020-06-05,144,22,172,-50,5544,2914,636,1994
2020-06-06,84,19,117,-52,5628,3031,655,1942
2020-06-07,271,18,147,106,5899,3178,673,2048
2020-06-08,319,20,161,138,6218,3339,693,2186
2020-06-09,189,24,127,38,6407,3466,717,2224
2020-06-10,275,29,203,43,6682,3669,746,2267
2020-06-11,251,33,88,130,6933,3757,779,2397
2020-06-12,245,29,185,31,7178,3942,808,2428
2020-06-13,218,23,93,102,7396,4035,831,2530
2020-06-14,194,22,63,109,7590,4098,853,2639
2020-06-15,312,30,95,187,7902,4193,883,2826
2020-06-16,205,22,59,124,8107,4252,905,2950
2020-06-17,210,27,239,-56,8317,4491,932,2894
2020-06-18,319,23,269,27,8636,4760,955,2921
2020-06-19,196,22,115,59,8832,4875,977,2980
2020-06-20,300,18,257,25,9132,5132,995,3005
2020-06-21,131,16,126,-11,9263,5258,1011,2994
2020-06-22,329,11,116,202,9592,5374,1022,3196
2020-06-23,241,17,130,94,9833,5504,1039,3290
2020-06-24,183,19,161,3,10016,5665,1058,3293
2020-06-25,304,23,135,146,10320,5800,1081,3439
2020-06-26,361,32,186,143,10681,5986,1113,3582
2020-06-27,287,25,105,157,10968,6091,1138,3739
2020-06-28,236,21,182,33,11204,6273,1159,3772
2020-06-29,226,21,102,103,11430,6375,1180,3875
2020-06-30,394,24,198,172,11824,6573,1204,4047
2020-07-01,305,25,116,164,12129,6689,1229,4211
2020-07-02,342,28,222,92,12471,6911,1257,4303
2020-07-03,372,20,160,192,12843,7071,1277,4495
2020-07-04,384,31,154,199,13227,7225,1308,4694
2020-07-05,411,14,262,135,13638,7487,1322,4829
2020-07-06,280,18,219,43,13918,7706,1340,4872
2020-07-07,321,21,153,147,14239,7859,1361,5019
2020-07-08,393,17,164,212,14632,8023,1378,5231
2020-07-09,416,27,180,209,15048,8203,1405,5440
2020-07-10,295,17,311,-33,15343,8514,1422,5407
2020-07-11,393,19,310,64,15736,8824,1441,5471
2020-07-12,388,21,261,106,16124,9085,1462,5577
2020-07-13,197,22,165,10,16321,9250,1484,5587
2020-07-14,278,26,272,-20,16599,9522,1510,5567
2020-07-15,261,39,315,-93,16860,9837,1549,5474
2020-07-16,191,17,254,-80,17051,10091,1566,5394
2020-07-17,249,21,306,-78,17300,10397,1587,5316
2020-07-18,257,26,224,7,17557,10621,1613,5323
2020-07-19,302,44,285,-27,17859,10906,1657,5296
2020-07-20,287,26,257,4,18146,11163,1683,5300
2020-07-21,305,25,370,-90,18451,11533,1708,5210
2020-07-22,359,32,311,16,18810,11844,1740,5226
2020-07-23,323,37,363,-77,19133,12207,1777,5149
2020-07-24,563,30,348,185,19696,12555,1807,5334
2020-07-25,270,22,353,-105,19966,12908,1829,5229
2020-07-26,302,33,260,9,20268,13168,1862,5238
2020-07-27,286,18,309,-41,20554,13477,1880,5197
2020-07-28,273,31,311,-69,20827,13788,1911,5128
2020-07-29,286,19,366,-99,21113,14154,1930,5029
2020-07-30,315,20,283,12,21428,14437,1950,5041
2020-07-31,294,22,261,11,21722,14698,1972,5052
2020-08-01,581,19,240,322,22303,14938,1991,5374
2020-08-02,330,23,220,87,22633,15158,2014,5461
2020-08-03,321,17,258,46,22954,15416,2031,5507
2020-08-04,391,19,247,125,23345,15663,2050,5632
2020-08-05,414,11,347,56,23759,16010,2061,5688
2020-08-06,265,19,490,-244,24024,16500,2080,5444
2020-08-07,365,21,576,-232,24389,17076,2101,5212
2020-08-08,402,24,345,33,24791,17421,2125,5245
2020-08-09,367,29,317,21,25158,17738,2154,5266
2020-08-10,298,18,382,-102,25456,18120,2172,5164
2020-08-11,288,23,277,-12,25744,18397,2195,5152
2020-08-12,298,34,450,-186,26042,18847,2229,4966
2020-08-13,327,36,569,-278,26369,19416,2265,4688
2020-08-14,402,41,359,2,26771,19775,2306,4690
2020-08-15,416,27,366,23,27187,20141,2333,4713
2020-08-16,471,23,389,59,27658,20530,2356,4772
2020-08-17,313,27,389,-103,27971,20919,2383,4669
2020-08-18,318,24,363,-69,28289,21282,2407,4600
2020-08-19,338,27,485,-174,28627,21767,2434,4426
2020-08-20,366,25,367,-26,28993,22134,2459,4400
2020-08-21,451,39,367,45,29444,22501,2498,4445
2020-08-22,343,30,382,-69,29787,22883,2528,4376
2020-08-23,282,28,369,-115,30069,23252,2556,4261
2020-08-24,340,22,491,-173,30409,23743,2578,4088
2020-08-25,364,20,460,-116,30773,24203,2598,3972
2020-08-26,322,31,398,-107,31095,24601,2629,3865
2020-08-27,362,31,353,-22,31457,24954,2660,3843
2020-08-28,424,32,337,55,31881,25291,2692,3898
2020-08-29,615,24,264,327,32496,25555,2716,4225
2020-08-30,458,34,398,26,32954,25953,2750,4251
2020-08-31,315,38,493,-216,33269,26446,2788,4035
2020-09-01,351,19,405,-73,33620,26851,2807,3962
2020-09-02,359,17,360,-18,33979,27211,2824,3944
2020-09-03,371,34,331,6,34350,27542,2858,3950
2020-09-04,330,43,347,-60,34680,27889,2901,3890
2020-09-05,322,26,336,-40,35002,28225,2927,3850
2020-09-06,305,32,391,-118,35307,28616,2959,3732
2020-09-07,290,26,376,-112,35597,28992,2985,3620
2020-09-08,425,27,348,50,36022,29340,3012,3670
2020-09-09,356,38,391,-73,36378,29731,3050,3597
2020-09-10,370,27,315,28,36748,30046,3077,3625
2020-09-11,369,34,359,-24,37117,30405,3111,3601
2020-09-12,364,24,442,-102,37481,30847,3135,3499
2020-09-13,236,30,710,-504,37717,31557,3165,2995
2020-09-14,358,31,346,-19,38075,31903,3196,2976
2020-09-15,371,24,346,1,38446,32249,3220,2977
2020-09-16,357,24,340,-7,38803,32589,3244,2970
2020-09-17,323,29,333,-39,39126,32922,3273,2931
2020-09-18,488,23,538,-73,39614,33460,3296,2858
2020-09-19,351,31,353,-33,39965,33813,3327,2825
2020-09-20,350,21,321,8,40315,34134,3348,2833
2020-09-21,336,16,286,34,40651,34420,3364,2867
2020-09-22,336,22,379,-65,40987,34799,3386,2802
2020-09-23,342,23,335,-16,41329,35134,3409,2786
2020-09-24,359,24,363,-28,41688,35497,3433,2758
2020-09-25,284,22,374,-112,41972,35871,3455,2646
2020-09-26,269,17,344,-92,42241,36215,3472,2554
2020-09-27,197,19,460,-282,42438,36675,3491,2272
2020-09-28,280,22,451,-193,42718,37126,3513,2079
2020-09-29,275,24,321,-70,42993,37447,3537,2009
2020-09-30,531,51,565,-85,43524,38012,3588,1924
2020-10-01,601,22,372,207,44125,38384,3610,2131
2020-10-02,269,22,363,-116,44394,38747,3632,2015
2020-10-03,319,15,343,-39,44713,39090,3647,1976
2020-10-04,238,18,331,-111,44951,39421,3665,1865
2020-10-05,245,8,290,-53,45196,39711,3673,1812
2020-10-06,275,9,247,19,45471,39958,3682,1831
2020-10-07,326,23,299,4,45797,40257,3705,1835
2020-10-08,343,20,329,-6,46140,40586,3725,1829
2020-10-09,303,25,378,-100,46443,40964,3750,1729
2020-10-10,310,20,371,-81,46753,41335,3770,1648
2020-10-11,261,15,317,-71,47014,41652,3785,1577
2020-10-12,297,19,317,-39,47311,41969,3804,1538
2020-10-13,330,22,365,-57,47641,42334,3826,1481
2020-10-14,300,21,346,-67,47941,42680,3847,1414
2020-10-15,294,20,372,-98,48235,43052,3867,1316
2020-10-16,286,21,402,-137,48521,43454,3888,1179
2020-10-17,250,22,382,-154,48771,43836,3910,1025
2020-10-18,236,21,318,-103,49007,44154,3931,922
2020-10-19,232,21,351,-140,49239,44505,3952,782
2020-10-20,295,12,339,-56,49534,44844,3964,726
2020-10-21,332,17,342,-27,49866,45186,3981,699
2020-10-22,272,21,380,-129,50138,45566,4002,570
2020-10-23,282,22,377,-117,50420,45943,4024,453
2020-10-24,292,18,349,-75,50712,46292,4042,378
2020-10-25,246,18,269,-41,50958,46561,4060,337
2020-10-26,288,13,285,-10,51246,46846,4073,327
2020-10-27,286,11,270,5,51532,47116,4084,332
2020-10-28,232,15,260,-43,51764,47376,4099,289
2020-10-29,242,15,282,-55,52006,47658,4114,234
2020-10-30,218,46,542,-370,52224,48200,4160,-136
2020-10-31,225,22,277,-74,52449,48477,4182,-210
2020-11-01,627,23,345,259,53076,48822,4205,49
2020-11-02,284,12,291,-19,53360,49113,4217,30
2020-11-03,261,24,280,-43,53621,49393,4241,-13
2020-11-04,231,15,280,-64,53852,49673,4256,-77
2020-11-05,270,9,274,-13,54122,49947,4265,-90
2020-11-06,261,13,308,-60,54383,50255,4278,-150
2020-11-07,269,25,282,-38,54652,50537,4303,-188
2020-11-08,279,21,275,-17,54931,50812,4324,-205
2020-11-09,243,28,278,-63,55174,51090,4352,-268
2020-11-10,303,25,312,-34,55477,51402,4377,-302
2020-11-11,185,21,272,-108,55662,51674,4398,-410
2020-11-12,233,24,238,-29,55895,51912,4422,-439
2020-11-13,224,21,291,-88,56119,52203,4443,-527
2020-11-14,240,21,303,-84,56359,52506,4464,-611
2020-11-15,189,10,278,-99,56548,52784,4474,-710
2020-11-16,263,30,259,-26,56811,53043,4504,-736
2020-11-17,317,29,248,40,57128,53291,4533,-696
2020-11-18,372,18,283,71,57500,53574,4551,-625
2020-11-19,408,33,248,127,57908,53822,4584,-498
2020-11-20,361,26,305,30,58269,54127,4610,-468
2020-11-21,354,23,265,66,58623,54392,4633,-402
2020-11-22,274,27,276,-29,58897,54668,4660,-431
2020-11-23,341,29,268,44,59238,54936,4689,-387
2020-11-24,331,29,259,43,59569,55195,4718,-344
2020-11-25,378,35,284,59,59947,55479,4753,-285
2020-11-26,361,34,283,44,60308,55762,4787,-241
2020-11-27,375,43,338,-6,60683,56100,4830,-247
2020-11-28,442,32,394,16,61125,56494,4862,-231
2020-11-29,393,32,267,94,61518,56761,4894,-137
